Region,Product_Category,Warehouse_Type,Supplier_Type,Transportation_Mode,Demand_Level_Category,Inventory_Status,Demand_Units,Forecasted_Demand_Units,Inventory_Level_Units,Reorder_Point,Lead_Time_Days,Transportation_Cost_USD,Holding_Cost_USD,Stockout_Incidents,Order_Fulfillment_Time_Days,Supplier_Reliability_Score,Demand_Forecast_Accuracy,Inventory_Turnover_Ratio,Supply_Chain_Efficiency_Index,Inventory_Risk_Score,Logistics_Performance_Index
South,Apparel,Central,International,Road,Medium,Optimal,721,871.0,656.0,809,22.61,1024.37,1240.61,1,13.48,61.32,79.2,1.1,67.35,34.27,59.34
North,FMCG,Central,International,Road,High,Overstocked,3520,3128.0,4763.0,2093,18.3,5644.94,3343.51,0,6.85,92.52,88.86,0.74,87.38,22.75,72.51
West,Apparel,Local,International,Sea,Medium,Optimal,1230,942.0,1716.0,905,15.5,3358.4,2874.24,2,5.11,84.5,76.59,0.72,78.38,31.53,78.26
South,FMCG,Central,Local,Road,Low,Optimal,1088,1288.0,1617.0,818,2.05,897.14,1167.0,1,2.71,87.73,81.62,0.67,85.57,12.74,89.06
East,Electronics,Central,Local,Road,High,Optimal,2278,2731.0,2316.0,1609,9.18,3781.12,1862.18,1,4.76,72.15,80.11,0.98,79.09,20.47,74.39
North,Apparel,Regional,Distributor,Sea,High,Optimal,2455,2308.0,2946.0,1466,17.47,4272.69,2281.01,3,8.52,87.37,94.01,0.83,79.56,29.87,70.43
South,FMCG,Regional,Distributor,Air,Low,Optimal,1011,981.0,920.0,525,1.0,5351.02,950.68,0,1.0,91.07,97.03,1.1,95.73,2.19,84.38
North,Apparel,Local,Local,Road,Medium,Optimal,712,858.0,746.0,590,5.24,1385.57,1289.29,1,2.25,93.54,79.49,0.95,86.73,16.78,90.73
South,Electronics,Regional,Local,Air,Medium,Overstocked,1063,939.0,1858.0,777,13.72,3114.33,2680.52,0,5.78,88.62,88.33,0.57,87.29,18.39,78.66
South,Apparel,Regional,International,Sea,Low,Optimal,886,921.0,1037.0,853,20.7,1880.59,1379.56,1,12.06,74.6,96.05,0.85,77.99,25.61,64.41
West,Electronics,Local,Distributor,Road,Medium,Stockout Risk,1739,1913.0,815.0,971,3.98,2351.49,1067.42,4,3.74,96.33,89.99,2.13,82.95,21.32,86.61
South,Industrial Supplies,Local,Local,Road,Medium,Stockout Risk,468,440.0,482.0,322,9.01,932.78,777.08,4,4.3,84.19,94.02,0.97,80.77,24.74,84.75
South,FMCG,Regional,Local,Road,Medium,Optimal,1348,1352.0,1366.0,1186,8.24,1496.0,2266.92,3,5.81,77.92,99.7,0.99,81.9,18.36,78.7
North,FMCG,Local,International,Road,Medium,Stockout Risk,1915,1929.0,2110.0,1932,20.96,4395.63,1189.48,5,10.64,73.38,99.27,0.91,71.34,37.92,61.74
South,Home Goods,Local,Local,Road,Medium,Optimal,1262,1337.0,1517.0,1226,8.16,1586.47,2683.53,1,6.5,80.21,94.06,0.83,84.25,13.87,77.82
North,Industrial Supplies,Regional,International,Sea,Low,Optimal,1021,857.0,730.0,747,23.11,1246.31,1443.51,0,14.1,86.3,83.94,1.4,76.85,29.54,65.14
South,Apparel,Local,International,Sea,High,Overstocked,918,814.0,1550.0,998,23.46,2053.48,897.36,1,16.01,63.39,88.67,0.59,68.65,31.32,52.8
North,Apparel,Central,Distributor,Road,Medium,Optimal,1541,1381.0,2226.0,1302,9.41,3468.9,3169.21,6,4.42,80.72,89.62,0.69,73.79,33.56,78.28
West,Home Goods,Regional,International,Sea,Medium,Overstocked,996,1109.0,1792.0,1004,19.37,1394.54,3439.27,0,10.87,80.18,88.65,0.56,80.2,23.91,69.46
East,FMCG,Regional,International,Road,Low,Optimal,1126,1187.0,1498.0,952,15.44,1780.45,2825.1,2,8.53,87.72,94.58,0.75,82.06,24.27,75.61
West,Industrial Supplies,Regional,Distributor,Road,High,Overstocked,1444,1473.0,2315.0,821,3.87,1361.59,1446.89,0,4.04,87.94,97.99,0.62,92.24,4.67,85.52
North,Industrial Supplies,Regional,International,Air,Medium,Optimal,671,777.0,520.0,706,8.7,2226.93,386.4,4,3.9,79.9,84.2,1.29,76.66,28.35,81.62
North,Industrial Supplies,Local,Local,Road,Low,Overstocked,866,781.0,988.0,466,2.32,1475.72,968.11,0,1.7,78.11,90.18,0.88,89.39,6.25,87.01
East,Industrial Supplies,Local,Local,Road,Medium,Optimal,848,833.0,1131.0,529,7.79,1302.15,1199.69,1,5.17,70.67,98.23,0.75,84.66,11.83,78.2
West,FMCG,Local,International,Air,Low,Optimal,1286,1191.0,1561.0,932,17.97,2979.28,2546.2,1,7.52,74.86,92.61,0.82,81.39,24.26,71.32
North,Apparel,Regional,Distributor,Road,High,Optimal,1586,1585.0,1599.0,1198,12.33,3705.69,3170.14,1,8.3,88.42,99.94,0.99,86.56,15.69,72.35
West,Apparel,Regional,Distributor,Road,Low,Optimal,509,409.0,423.0,405,14.03,544.69,803.12,2,6.27,89.72,80.35,1.2,79.84,28.56,83.26
North,Industrial Supplies,Regional,Distributor,Road,Low,Overstocked,332,339.0,584.0,398,13.79,685.12,1115.28,1,10.9,78.47,97.89,0.57,80.76,17.97,70.34
West,Electronics,Local,Distributor,Sea,Medium,Optimal,941,1042.0,1302.0,642,15.41,2050.91,1958.49,1,7.47,73.92,89.27,0.72,80.03,23.04,73.04
North,Electronics,Regional,Distributor,Sea,High,Stockout Risk,1824,1846.0,1234.0,1222,14.78,3356.29,1039.15,5,12.95,89.17,98.79,1.48,72.81,31.93,63.99
North,Electronics,Local,Distributor,Road,Medium,Optimal,2251,2435.0,2738.0,1883,4.56,3786.44,3035.2,2,2.22,67.49,91.83,0.82,82.35,14.5,78.06
North,Home Goods,Central,Distributor,Road,High,Stockout Risk,1696,1575.0,1073.0,964,11.06,3350.91,805.33,5,5.77,81.94,92.87,1.58,76.11,30.58,76.19
North,FMCG,Central,International,Road,Low,Optimal,1171,1092.0,1129.0,1102,16.23,2717.71,846.48,2,6.03,73.84,93.25,1.04,80.62,25.6,74.53
North,FMCG,Regional,Local,Air,Low,Stockout Risk,1247,1601.0,799.0,1556,12.4,4125.87,527.89,6,3.72,83.89,71.61,1.56,68.98,43.76,79.29
East,Home Goods,Local,Local,Road,Low,Optimal,973,959.0,1250.0,907,13.66,1477.13,2114.83,3,7.76,80.47,98.56,0.78,80.19,24.24,75.6
North,FMCG,Regional,International,Road,Low,Overstocked,784,529.0,1153.0,741,22.68,809.17,758.44,2,16.68,93.58,67.47,0.68,65.89,42.36,63.06
West,Home Goods,Local,Local,Road,Low,Overstocked,422,319.0,780.0,444,11.45,372.61,488.17,0,6.74,74.84,75.59,0.54,78.43,21.21,78.21
North,Electronics,Local,International,Road,Low,Stockout Risk,997,1106.0,1026.0,791,22.98,980.76,1713.29,2,12.45,77.28,89.07,0.97,73.6,34.02,66.28
North,Apparel,Local,International,Road,Low,Stockout Risk,389,421.0,330.0,437,12.54,500.43,360.57,4,7.71,66.41,91.77,1.18,72.12,29.16,73.48
South,Industrial Supplies,Regional,Local,Road,High,Overstocked,1712,1679.0,2566.0,1033,9.69,1790.91,4150.24,0,4.82,95.11,98.07,0.67,93.28,10.46,85.23
North,FMCG,Regional,Distributor,Road,Medium,Optimal,2023,1970.0,1719.0,1428,6.82,3104.49,1045.27,4,4.9,75.59,97.38,1.18,79.19,21.2,76.53
West,Apparel,Regional,Distributor,Road,Medium,Stockout Risk,612,594.0,330.0,325,3.09,783.45,652.47,3,2.13,91.51,97.06,1.85,88.05,14.27,91.59
North,Home Goods,Regional,Distributor,Road,Low,Optimal,740,843.0,926.0,611,6.61,1578.83,833.98,1,3.52,70.96,86.08,0.8,82.13,15.51,81.02
North,Apparel,Regional,Local,Road,Low,Overstocked,926,911.0,1146.0,727,8.45,888.79,701.89,0,6.33,81.77,98.38,0.81,88.55,9.1,80.05
East,Electronics,Regional,International,Sea,Medium,Stockout Risk,1309,1420.0,1216.0,1501,23.96,4345.8,1845.72,4,15.97,78.64,91.52,1.08,66.83,40.69,52.76
North,Home Goods,Central,Distributor,Air,Medium,Optimal,1362,1452.0,1883.0,1253,10.98,7250.06,3112.35,2,4.74,81.62,93.39,0.72,83.91,20.29,70.18
West,FMCG,Local,Distributor,Road,Low,Optimal,1670,1647.0,1342.0,1332,5.48,1922.24,2115.69,5,3.78,95.74,98.62,1.24,83.56,22.7,87.23
East,FMCG,Regional,Distributor,Road,Medium,Stockout Risk,1508,1431.0,1169.0,1137,8.04,3399.59,1175.79,1,4.83,75.72,94.89,1.29,85.09,13.42,76.1
South,Apparel,Local,International,Road,Low,Stockout Risk,661,621.0,535.0,487,11.51,1552.5,673.02,3,7.99,78.73,93.95,1.24,77.91,23.93,74.46
North,Industrial Supplies,Central,International,Road,Low,Optimal,912,794.0,1256.0,823,19.01,2151.31,1599.17,2,9.69,93.07,87.06,0.73,79.6,30.85,74.14
South,Electronics,Local,Distributor,Sea,Low,Overstocked,590,602.0,875.0,560,8.75,1430.67,1137.84,0,4.9,78.35,97.97,0.67,88.98,9.56,80.78
West,FMCG,Regional,Local,Road,Medium,Stockout Risk,1563,1454.0,1383.0,1289,5.69,3154.39,1547.74,3,5.07,77.16,93.03,1.13,80.11,18.48,76.56
South,Home Goods,Regional,International,Sea,Low,Optimal,240,268.0,314.0,421,26.77,627.45,401.71,0,15.41,73.75,88.33,0.76,73.94,31.44,60.02
South,FMCG,Regional,Local,Road,Medium,Optimal,1424,1591.0,1714.0,1040,15.91,2853.39,3349.3,1,8.1,95.18,88.27,0.83,84.37,23.93,76.52
West,Home Goods,Regional,Distributor,Sea,Low,Optimal,778,891.0,672.0,881,18.63,2466.2,1111.27,2,15.6,85.6,85.48,1.16,71.27,31.11,59.44
East,FMCG,Regional,Local,Sea,Medium,Overstocked,1634,1199.0,2491.0,928,10.14,5439.44,1779.07,0,7.14,91.41,73.38,0.66,81.4,20.79,72.02
South,FMCG,Local,Distributor,Road,High,Stockout Risk,2566,2476.0,2825.0,2087,3.22,4123.16,3407.85,3,2.79,96.24,96.49,0.91,88.37,14.62,84.86
North,FMCG,Central,Local,Sea,Medium,Optimal,682,743.0,647.0,707,15.28,990.35,1376.2,2,12.59,69.6,91.06,1.05,72.24,25.52,63.67
East,Apparel,Regional,Distributor,Road,Medium,Stockout Risk,50,45.0,52.0,81,2.72,70.5,88.5,1,2.83,82.79,90.0,0.96,87.15,10.05,89.03
East,FMCG,Central,Local,Road,High,Overstocked,1733,1823.0,2081.0,1252,13.84,1942.76,3096.35,0,4.73,69.43,94.81,0.83,85.81,15.92,77.4
South,FMCG,Regional,International,Road,High,Overstocked,1318,1277.0,2016.0,929,9.5,2354.39,3661.5,0,5.03,82.65,96.89,0.65,89.54,10.74,79.92
East,FMCG,Regional,Distributor,Road,High,Optimal,2091,2134.0,2980.0,1265,10.73,2261.75,4122.04,2,5.48,88.1,97.94,0.7,86.38,18.22,80.84
South,FMCG,Local,Local,Road,Low,Optimal,940,981.0,1105.0,910,14.62,1843.0,1971.06,1,8.15,73.68,95.64,0.85,81.52,19.7,72.03
East,Home Goods,Regional,International,Road,Medium,Optimal,1386,1308.0,1303.0,1120,11.12,1695.49,945.31,3,4.76,74.74,94.37,1.06,80.29,23.37,79.43
North,FMCG,Local,International,Road,Medium,Overstocked,2295,2627.0,4419.0,1452,11.53,5165.01,7830.3,4,4.65,74.69,85.53,0.52,75.07,30.65,72.54
South,Industrial Supplies,Local,Local,Road,Low,Overstocked,569,598.0,649.0,341,2.1,907.69,380.21,1,1.0,80.56,94.9,0.88,90.13,7.47,90.31
East,FMCG,Central,Local,Air,High,Optimal,2434,2487.0,2396.0,2290,14.42,11223.02,4678.55,0,6.85,79.62,97.82,1.02,87.29,15.29,57.23
West,Industrial Supplies,Regional,Distributor,Sea,Medium,Optimal,1334,1416.0,1500.0,886,14.12,4469.69,1013.84,0,8.05,91.77,93.85,0.89,87.74,16.58,72.29
South,Industrial Supplies,Regional,Local,Sea,Low,Stockout Risk,498,425.0,560.0,448,14.23,968.78,835.86,1,8.48,72.34,85.34,0.89,77.25,23.43,72.76
East,FMCG,Local,International,Sea,Low,Optimal,905,873.0,796.0,1039,25.94,1066.25,1381.98,1,12.49,61.44,96.46,1.14,74.41,30.69,61.27
East,Electronics,Local,International,Road,Medium,Optimal,1748,1814.0,1230.0,1432,16.99,2905.9,1852.51,0,8.25,75.81,96.22,1.42,84.38,18.5,70.3
South,Home Goods,Local,Local,Road,Low,Optimal,658,659.0,853.0,544,12.17,1072.75,1080.44,1,4.0,73.5,99.85,0.77,87.1,15.56,81.86
North,Electronics,Central,International,Road,Low,Overstocked,988,1115.0,1207.0,911,23.41,1227.74,2302.63,1,16.55,68.94,87.15,0.82,68.97,31.89,55.07
West,FMCG,Local,Local,Air,High,Optimal,213,179.0,242.0,281,10.08,574.22,411.22,1,2.91,74.4,84.04,0.88,82.88,19.8,85.33
North,Apparel,Central,Local,Road,Medium,Overstocked,1763,2081.0,2533.0,1677,15.68,2640.33,5103.74,1,4.33,72.4,81.96,0.7,80.23,26.23,77.66
North,Industrial Supplies,Central,Local,Road,Medium,Optimal,712,814.0,806.0,510,8.07,1290.47,1491.74,5,5.06,88.5,85.67,0.88,75.94,30.47,83.79
North,Apparel,Local,Local,Sea,Low,Overstocked,1076,1127.0,1499.0,921,15.1,2330.71,2234.09,0,8.79,88.32,95.26,0.72,86.63,17.0,74.15
East,Home Goods,Local,International,Air,Low,Optimal,723,730.0,737.0,484,7.21,1987.76,432.08,1,1.33,81.39,99.03,0.98,91.46,10.93,87.69
North,FMCG,Regional,International,Sea,Low,Overstocked,791,926.0,1030.0,811,15.8,1381.02,1210.54,0,10.54,93.44,82.93,0.77,81.85,22.63,74.13
North,Apparel,Regional,International,Sea,Medium,Optimal,1483,1249.0,1098.0,1056,23.44,2297.65,1176.4,1,16.57,93.09,84.22,1.35,73.96,33.08,60.09
East,FMCG,Central,International,Sea,Low,Optimal,1349,1092.0,1413.0,913,25.13,2120.44,1868.21,1,13.96,77.92,80.95,0.95,71.63,36.08,61.12
East,Electronics,Regional,Local,Road,High,Optimal,1392,1211.0,1546.0,677,6.4,3114.19,2477.11,2,2.34,68.56,87.0,0.9,80.81,18.27,79.52
East,Industrial Supplies,Regional,Distributor,Sea,Medium,Overstocked,526,515.0,878.0,437,18.87,1188.99,1418.99,0,9.99,76.46,97.91,0.6,83.39,19.71,70.53
East,Industrial Supplies,Local,International,Sea,Medium,Optimal,1290,1181.0,1517.0,890,19.44,1741.46,2279.93,3,12.87,75.07,91.55,0.85,71.27,32.82,63.22
South,Industrial Supplies,Central,Local,Road,Low,Overstocked,779,735.0,983.0,523,5.46,1312.38,2116.66,1,3.52,88.51,94.35,0.79,89.41,11.05,86.83
North,Electronics,Central,Distributor,Sea,High,Optimal,1458,1320.0,2002.0,1153,16.17,2297.15,3572.57,2,9.0,69.0,90.53,0.73,75.49,26.62,68.0
East,Home Goods,Regional,International,Sea,Medium,Optimal,1247,1301.0,1506.0,1564,23.72,2236.71,1035.29,1,10.81,62.32,95.67,0.83,76.03,28.79,62.5
East,Home Goods,Regional,International,Road,Medium,Stockout Risk,1053,1146.0,498.0,945,17.5,1846.34,453.08,1,9.21,72.35,91.17,2.11,78.56,24.37,69.51
North,Apparel,Central,Distributor,Sea,Low,Overstocked,647,767.0,1095.0,722,18.23,862.31,2388.06,0,9.12,97.63,81.45,0.59,83.8,25.65,79.29
North,Industrial Supplies,Regional,Local,Sea,High,Optimal,2140,2254.0,2268.0,1578,17.16,3160.72,1753.1,3,11.57,97.24,94.67,0.94,79.21,29.29,69.57
South,Electronics,Local,International,Road,Medium,Overstocked,1264,1415.0,2073.0,959,18.29,1169.32,3396.45,0,6.03,86.85,88.05,0.61,86.5,23.07,81.6
South,Industrial Supplies,Central,Local,Road,High,Optimal,1485,1530.0,1224.0,862,12.02,3321.15,919.67,1,9.55,95.46,96.97,1.21,86.03,16.57,72.75
South,Home Goods,Central,International,Air,High,Optimal,1968,1713.0,2711.0,1550,8.78,5361.0,1993.35,2,2.61,80.75,87.04,0.73,83.6,20.63,78.04
North,Apparel,Central,Local,Road,Low,Optimal,504,466.0,472.0,435,8.86,427.2,697.03,0,5.39,99.0,92.46,1.07,91.72,11.88,88.05
South,Apparel,Local,Local,Sea,Low,Stockout Risk,341,267.0,166.0,319,10.87,930.03,181.77,4,5.59,97.27,78.3,2.05,77.24,32.88,86.1
South,Electronics,Regional,Local,Road,Medium,Stockout Risk,1879,1904.0,1200.0,1230,9.65,2500.13,1281.46,4,7.46,83.7,98.67,1.57,79.11,23.52,75.08
West,Electronics,Local,International,Sea,Low,Optimal,751,541.0,997.0,734,22.85,1030.57,1206.28,1,12.81,89.8,72.04,0.75,72.63,37.37,69.21
North,Home Goods,Central,Local,Road,Low,Optimal,710,711.0,1036.0,638,4.83,1554.14,1548.73,1,3.74,75.62,99.86,0.69,87.89,8.22,82.03
North,Apparel,Local,International,Sea,Medium,Optimal,1521,1565.0,1437.0,1598,22.89,4356.98,2549.26,1,14.84,63.65,97.11,1.06,72.84,27.38,50.5
North,Electronics,Regional,Local,Sea,Medium,Optimal,1541,1451.0,2172.0,1015,15.46,4997.45,1369.6,2,12.91,68.01,94.16,0.71,72.6,24.46,54.36
North,Industrial Supplies,Regional,Local,Road,Low,Optimal,1184,1344.0,962.0,1006,3.09,2555.49,1690.13,3,4.41,85.3,86.49,1.23,80.52,18.5,81.54
East,Industrial Supplies,Local,International,Sea,Low,Overstocked,824,720.0,945.0,839,25.57,1244.81,1181.01,1,16.42,80.95,87.38,0.87,72.18,33.95,58.9
South,FMCG,Regional,International,Road,Medium,Optimal,1421,1354.0,1212.0,994,14.98,2349.6,2182.85,5,7.19,77.2,95.29,1.17,74.35,33.53,73.97
West,Apparel,Regional,Local,Road,Low,Optimal,726,567.0,769.0,452,6.43,1287.02,747.23,1,4.68,86.9,78.1,0.94,82.16,18.52,84.08
East,Industrial Supplies,Central,Distributor,Sea,Medium,Optimal,961,963.0,1268.0,1040,21.36,1933.66,2761.97,5,13.19,82.99,99.79,0.76,71.37,38.11,64.56
South,Industrial Supplies,Central,Local,Road,Medium,Optimal,1117,1318.0,1384.0,1065,3.04,2635.85,2001.7,1,3.73,99.0,82.01,0.81,87.5,13.57,86.85
West,Home Goods,Regional,Distributor,Road,Medium,Overstocked,610,711.0,1156.0,769,16.57,839.98,2263.57,1,10.76,68.74,83.44,0.53,73.41,26.53,67.38
West,Home Goods,Central,International,Road,Low,Optimal,811,790.0,691.0,884,21.91,1843.88,672.99,0,10.62,77.345,97.41,1.17,82.81,22.95,68.19
North,Electronics,Regional,Local,Sea,Medium,Optimal,1665,1537.0,2091.0,900,10.58,5294.44,3889.45,1,7.88,99.0,92.31,0.8,86.96,16.99,73.11
West,FMCG,Local,Distributor,Road,Medium,Optimal,2218,2377.0,2940.0,1851,6.92,1864.69,1859.69,1,1.77,66.02,92.83,0.75,85.0,13.12,82.45
North,FMCG,Regional,Local,Road,Low,Overstocked,765,805.0,1102.0,806,14.76,1080.59,819.42,0,7.84,75.33,94.77,0.69,84.16,16.85,74.71
West,FMCG,Central,International,Sea,Medium,Optimal,1788,1853.0,1995.0,2026,27.77,2216.64,1412.82,1,14.01,70.25,96.36,0.9,75.06,32.56,58.52
North,Electronics,Local,Local,Road,Medium,Optimal,1754,1956.0,1578.0,1345,8.99,1521.69,1769.55,3,3.45,92.89,88.48,1.11,84.07,23.6,87.85
North,Electronics,Regional,Local,Road,Medium,Optimal,1636,1551.0,2122.0,1215,9.85,1831.43,1359.24,2,5.66,75.9,94.8,0.77,82.05,18.59,77.7
East,Apparel,Central,International,Road,Low,Optimal,709,841.0,513.0,627,13.62,1574.68,987.83,1,7.64,86.78,81.38,1.38,80.32,24.4,77.53
West,Electronics,Regional,Local,Road,Low,Optimal,957,808.0,1291.0,627,11.68,1470.02,1502.01,4,8.08,81.85,84.43,0.74,73.04,31.24,75.39
North,Industrial Supplies,Regional,Distributor,Road,Medium,Optimal,1361,1331.0,1270.0,990,2.92,2381.04,1788.7,1,1.52,79.64,97.8,1.07,90.4,7.14,85.98
North,Electronics,Central,Distributor,Road,High,Overstocked,1387,1775.0,2484.0,1504,15.43,2591.54,2710.53,0,10.4,67.26,72.03,0.56,71.63,26.62,64.08
North,Industrial Supplies,Central,Distributor,Road,High,Overstocked,2178,2107.0,3634.0,1335,15.49,2688.29,8083.99,0,10.53,85.31,96.74,0.6,84.66,16.79,69.04
North,FMCG,Regional,Local,Road,Medium,Stockout Risk,2103,1985.0,2069.0,1671,16.94,4544.42,3720.56,2,7.46,99.0,94.39,1.02,85.88,25.85,75.49
South,FMCG,Regional,International,Road,Medium,Stockout Risk,1520,1619.0,1085.0,1302,25.23,2523.79,1264.91,3,13.56,72.89,93.49,1.4,70.72,37.84,59.59
South,Home Goods,Central,Local,Road,Low,Overstocked,777,881.0,1147.0,561,8.76,1353.6,2420.78,0,6.7,90.68,86.62,0.68,86.29,14.11,81.04
East,FMCG,Central,International,Road,High,Overstocked,1925,1885.0,2740.0,1451,25.82,3176.69,5687.35,0,8.95,74.22,97.92,0.7,83.88,26.65,67.87
South,Electronics,Central,Local,Sea,Low,Overstocked,1093,943.0,1614.0,875,19.39,1310.67,2368.73,1,12.81,89.01,86.28,0.68,77.42,28.21,68.4
East,Apparel,Regional,Local,Road,Low,Stockout Risk,581,530.0,697.0,471,3.53,1142.59,1130.8,3,4.23,75.8,91.22,0.83,79.98,17.04,81.94
North,Industrial Supplies,Regional,Distributor,Sea,High,Stockout Risk,930,801.0,748.0,722,14.27,2932.14,1486.16,3,12.52,97.94,86.13,1.24,75.44,29.82,68.35
North,FMCG,Local,Local,Air,High,Stockout Risk,2380,2050.0,1339.0,1603,12.95,7351.18,1555.07,4,3.08,92.83,86.13,1.78,81.38,31.83,76.65
West,Apparel,Central,Distributor,Air,Medium,Overstocked,1470,1391.0,1931.0,1021,11.18,4077.21,3336.41,0,3.76,91.01,94.63,0.76,92.11,13.33,81.44
West,FMCG,Regional,Distributor,Sea,Low,Optimal,982,931.0,1153.0,625,11.04,1514.64,1029.92,1,6.27,73.83,94.81,0.85,83.15,16.45,76.51
North,Home Goods,Local,Local,Road,Low,Overstocked,781,656.0,1426.0,476,11.71,1396.24,1759.99,1,4.75,99.0,83.99,0.55,87.17,21.45,87.34
South,FMCG,Central,Local,Road,High,Stockout Risk,2206,2078.0,1700.0,1436,8.75,5234.43,2937.38,2,4.56,73.76,94.2,1.3,82.41,17.74,72.3
North,Apparel,Central,International,Sea,Medium,Optimal,1593,1690.0,2154.0,1674,26.53,2242.78,4915.69,2,18.39,65.29,93.91,0.74,66.36,35.63,48.22
West,FMCG,Central,International,Road,Low,Optimal,1963,1386.0,1928.0,1360,23.33,3720.39,1484.25,1,9.42,65.32,70.61,1.02,69.4,38.42,63.15
North,Apparel,Local,Local,Road,Medium,Stockout Risk,1629,1968.0,1721.0,1036,8.63,2635.39,1996.09,2,3.9,99.0,79.19,0.95,84.12,23.62,86.51
North,FMCG,Central,Distributor,Sea,Medium,Optimal,2302,2465.0,1776.0,2115,6.4,6484.12,3794.85,5,7.8,85.55,92.92,1.3,75.0,25.9,66.8
North,FMCG,Central,International,Road,High,Stockout Risk,2163,2477.0,1030.0,1709,15.02,4611.03,1674.75,1,7.09,63.76,85.48,2.1,76.55,24.16,65.52
East,Electronics,Central,Local,Sea,Low,Optimal,993,944.0,916.0,873,19.46,1709.76,1262.2,4,11.85,74.45,95.07,1.08,71.15,34.77,65.14
South,Industrial Supplies,Local,International,Road,High,Optimal,1429,1134.0,1753.0,1071,21.14,2879.44,1939.76,0,10.57,81.52,79.36,0.82,77.59,29.4,67.43
East,Apparel,Central,International,Road,Medium,Stockout Risk,1542,1518.0,1092.0,965,9.42,2605.99,1542.34,1,4.01,92.56,98.44,1.41,91.36,13.38,84.42
South,Home Goods,Regional,International,Road,Low,Optimal,787,718.0,1098.0,716,13.42,1566.22,2165.73,1,5.55,61.96,91.23,0.72,79.65,20.26,74.28
East,Electronics,Regional,Local,Road,Medium,Optimal,1588,1680.0,2122.0,1220,6.42,1319.97,3513.8,2,3.53,83.34,94.21,0.75,85.83,15.4,85.24
North,Apparel,Regional,International,Sea,Medium,Stockout Risk,728,742.0,738.0,646,15.02,1241.19,603.33,4,9.84,61.6,98.08,0.99,71.0,29.12,66.26
South,FMCG,Central,Distributor,Road,Medium,Optimal,1455,1578.0,1660.0,1395,4.54,1874.57,2422.68,1,5.21,87.67,91.55,0.88,86.53,11.25,82.05
West,FMCG,Central,Distributor,Road,Low,Stockout Risk,1209,1221.0,734.0,971,15.17,1762.59,642.19,3,9.73,93.89,99.01,1.65,81.73,25.57,75.1
